ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3243,Core Carbon Sustainable Rice Productions 01,Core CarbonX Solutions Private Limited,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,India,"1,375",Asia,2025-02-10,2022-07-03,2029-07-02
3240,The Core Carbon,Core CarbonX Solutions Private Limited,Energy demand,,VMR0006,Registered,India,"250,712",Asia,2023-08-15,2022-05-03,2029-05-02
3238,Core Carbon Sustainable Rice Productions,Core CarbonX Solutions Private Limited,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,India,"4,740",Asia,2025-02-10,2022-07-01,2029-06-30
3161,Displacement of firewood by household biogas stoves in India,Greneity Infocom Service Pvt Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,India,"51,409",Asia,2023-01-10,2020-09-01,2030-08-31
3162,Holistic development of North East India through clean energy access,SDG 13 Ventures Pte. Ltd.,Energy demand,,VMR0006,Registered,India,"790,204",Asia,2024-06-18,2023-06-01,2033-05-31
3151,Clean Cooking Access for Women in Rural Maharashtra,SDG 13 Ventures Pte. Ltd.,Energy demand,,VMR0006,Registered,India,"2,116,773",Asia,2024-08-06,2023-07-01,2033-06-30
3109,Biomass Cookstove Project in Jharkhand,Fair Climate Fund India Private Limited,Energy demand,,VMR0006,Registered,India,"13,957",Asia,2022-12-22,2020-09-01,2030-08-31
3095,Biodiesel Project by Kotyark Industries Limited,Kotyark Industries Limited,Chemical industry,,ACM0017,Registered,India,"270,014",Asia,2024-03-01,2020-09-15,2027-09-14
3059,"Replacement of ICLs with LED lamps in Gujarat, India",AGS Carbon Advisory,Energy demand,,AMS-II.C.,Registered,India,"53,799",Asia,2023-01-05,2022-06-02,2032-06-01
3030,The Clean Energy Cooking Initiative,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"136,942",Asia,2024-10-21,2022-11-20,2029-11-19
3031,Global Cookstove Program (EKI Phase 12),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"73,222",Asia,2024-10-21,2023-01-22,2030-01-21
2993,Grouped rooftop solar power project by SAEL Limited,SAEL Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"5,860",Asia,2023-05-15,2021-03-12,2028-03-11
2968,Replacement of ICLs by LED lamps in India,AGS Carbon Advisory,Energy demand,,AMS-II.C.,Registered,India,"53,799",Asia,2023-02-10,2022-06-24,2032-06-23
2960,Changing Lives via Improved Cooking Initiative - India,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"3,972,774",Asia,2024-02-22,2023-08-03,2030-08-02
2939,Global Cookstove Program (EKI Phase 01),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"190,438",Asia,2023-02-01,2021-12-21,2028-12-20
2940,GLOBAL COOKSTOVE PROGRAM (EKI - Pink City),Multiple Proponents,Energy demand,,VMR0006,Registered,India,"226,899",Asia,2024-10-18,2022-12-05,2029-12-04
2941,Global Cookstove Program (EKI Phase 03),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"376,969",Asia,2024-10-18,2022-04-10,2029-04-09
2942,Clean Cooking - Cook Stove for Rural India,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"50,552",Asia,2024-01-16,2022-06-16,2029-06-15
2943,Global Cookstove Program (EKI Phase 05),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"2,295,219",Asia,2024-10-21,2022-10-01,2029-09-30
2944,Clean Cookstoves for Rural India,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"714,414",Asia,2024-01-04,2022-05-11,2029-05-10
2945,Global Cookstove Program (EKI Phase 07),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-01-31,2023-08-01,2030-07-31
2946,Global Cookstove Program (EKI Phase 08),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-01-31,2023-02-15,2030-02-14
2947,Global Cookstove Program (EKI Phase 09),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,956",Asia,2024-05-16,2023-07-01,2030-06-30
2948,Global Cookstove Program (EKI Phase 10),EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"6,993",Asia,2023-06-07,2023-01-30,2030-01-29
2922,Improved Cookstoves for Communities,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Registered,India,"449,956",,2024-01-10,2021-11-20,2028-11-19
2908,Biomass Cookstove Project in Meghalaya,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"44,163",Asia,2023-05-30,2021-04-01,2031-03-31
2868,Women led cleaner cooking initiative in Odisha,SDG 13 Ventures Pte. Ltd.,Energy demand,,VMR0006,Registered,India,"1,558,866",Asia,2023-06-20,2022-06-01,2032-05-31
2833,Grouped Reforestation Project by Cropzone Agro Forestry Private Limited,CropZone Agro Forestry Private Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,India,"10,673",Asia,2023-09-12,2017-06-04,2117-06-03
2763,Waste Energy project in Dadra & Nagar Haveli(D&NH),3R Management (P) Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,India,"90,808",Asia,2024-06-28,2020-02-26,2030-02-25
2752,Waste Energy project in Andhra Pradesh & Rajasthan,MAHINDRA WASTE TO ENERGY SOLUTIONS LTD.,Waste handling and disposal,,ACM0002,Registered,India,"21,855",Asia,2024-08-02,2020-02-01,2030-01-31
2708,BluSmart EV Project in India,BluSmart Mobility Private Limited,Energy industries (renewable/non-renewable sources); Transport,,AMS-I.F.; AMS-III.C.,Registered,India,"25,251",Asia,2022-07-17,2020-02-05,2030-02-04
2700,SHINE - Distribution of LED lightbulbs in India-6,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,"1,141,778",Asia,2022-11-29,2021-03-25,2031-03-24
2701,SHINE - Distribution of LED lightbulbs in India-7,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,"55,903",Asia,2022-11-29,2021-12-14,2031-12-13
2695,SHINE - Distribution of LED lightbulbs in India-5,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,"952,806",Asia,2022-11-29,2021-03-19,2031-03-18
2664,Installation of High Efficient Cook Stoves by EKI Energy Services Limited,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"211,856",Asia,2022-11-23,2020-02-15,2027-02-14
2657,SHINE – Distribution of LED Lightbulbs in India-3,Multiple Proponents,Energy demand,,AMS-II.C.,Registered,India,"55,046",Asia,2022-11-29,2020-03-06,2030-03-05
2658,SHINE – Distribution of LED Lightbulbs in India-4,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,"54,629",Asia,2022-11-29,2018-08-12,2028-08-11
2607,Household Energy Efficiency Programme,C-Quest Capital SG India Holdings Private Limited,Energy demand,,VMR0006,Registered,India,"680,100",Asia,2023-01-19,2021-09-17,2031-09-16
2608,SHINE - Distribution of LED lightbulbs in India-2,Multiple Proponents,Energy demand,,AMS-II.C.,Registered,India,"55,082",Asia,2022-02-22,2018-08-12,2028-08-11
2533,Improved Cookstove Programme by SDG13 in India,SDG 13 Ventures Pte. Ltd.,Energy demand,,VMR0006,Registered,India,"1,966,523",Asia,2022-07-02,2022-01-01,2031-12-31
2479,Mahogany Plantation in India,Mahogani Vishwa Agro Pvt Ltd,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,India,"8,446",Asia,2023-11-20,2019-06-28,2049-06-27
2473,Installation of High Efficient Cook Stoves by Enking International,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,"86,825",Asia,2022-06-09,2019-10-16,2026-10-15
2461,Convergence Energy Services Ltd. (CESL) EV Charging Infrastructure Project,Convergence Energy Services Limited,Energy distribution; Energy industries (renewable/non-renewable sources); Transport,,VM0038,Registered,India,"12,334",Asia,2024-01-03,2019-04-12,2029-04-11
2435,Distribution of Improved cook stove - Phase 7,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,999",Asia,2023-06-14,,
2436,Distribution of Improved cook stove - Phase 8,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,627",Asia,2022-10-06,,
2437,Distribution of Improved cook stove - Phase 9,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,196",Asia,2022-12-04,,
2438,Distribution of Improved cook stove - Phase 10,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,619",Asia,2022-09-30,,
2439,Distribution of Improved cook stove - Phase 18,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,945",Asia,2023-01-03,,
2440,Distribution of Improved cook stove - Phase 20,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,855",Asia,2022-12-08,,
2441,Distribution of Improved cook stove - Phase 22,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,766",Asia,2024-01-13,,
2442,Distribution of Improved cook stove - Phase 24,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,675",Asia,2022-12-09,,
2443,Distribution of Improved cook stove - Phase 25,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,810",Asia,2022-11-07,,
2444,Distribution of Improved cook stove - Phase 17,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,945",Asia,2022-12-07,,
2446,Distribution of Improved cook stove - Phase 23,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,945",Asia,2022-12-07,,
2447,Distribution of Improved cook stove - Phase 21,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,035",Asia,2022-12-04,,
2448,Distribution of Improved cook stove - Phase 19,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,900",Asia,2023-02-06,,
2422,Distribution of Improved cook stove - Phase I,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,644",Asia,2022-12-07,,
2423,Distribution of Improved cook stove - Phase II,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,644",Asia,2023-02-21,,
2424,Distribution of Improved cook stove - Phase III,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,125",Asia,2022-12-08,,
2425,Distribution of Improved cook stove - Phase IV,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,909",Asia,2022-09-30,,
2426,Distribution of improved cook stove- phase V,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,062",Asia,2022-09-30,,
2427,Distribution of Improved cook stove - Phase VI,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,990",Asia,2021-11-09,,
2428,Distribution of Improved cook stove - Phase 14,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,050",Asia,2022-12-07,,
2429,Distribution of Improved cook stove- Phase 15,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,843",Asia,2023-07-31,,
2430,Distribution of Improved cook stove - Phase 16,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,945",Asia,2022-11-07,,
2415,Distribution of Improved cook stove - Phase 11,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,428",Asia,2021-11-26,,
2416,Distribution of Improved cook stove - Phase 12,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,930",Asia,2022-12-13,,
2417,Distribution of Improved cook stove - Phase 13,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,420",Asia,2022-12-07,,
2404,Reforestation of degraded land by MTPL in India,Mangalam Timber Unit of Mangalam Cement Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0001,Registered,India,"146,998",Asia,2022-03-03,2001-06-25,2031-06-24
2336,Energy Efficient Cook Stove Implementation in India,Enen Green Services Private Limited,Energy demand,,VMR0006,Registered,India,"55,890",Asia,2021-12-07,2019-06-28,2029-06-27
51,29.70 MW Wind Power project in Karnataka India,ACCIONA WIND ENERGY PVT. LTD.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"88,240",Asia,2020-04-06,,
68,"119.8 MW Natural Gas based Combined Cycle Power Plant, at Tanjavur, Tamilnadu by M/s Aban  Power Company Limited",Lanco Tanjore Power Company Limited,Energy industries (renewable/non-renewable sources),,AM0029,Registered,India,"181,153",Asia,2020-04-06,,
117,"Waste heat recovery based power plant at Hindustan Zinc Limited, Chanderia",Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,ACM0012,Registered,India,"51,609",Asia,2020-04-06,,
132,"9 MW Neria Hyrdroelectric project, Karnataka, India",Bhoruka Power Corporation Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"18,663",Asia,2009-08-29,,
195,"8.3 MW Wind Electricity Generation Project by Parakh Agro Industries Limited in Dhule, Maharashtra",Parakh Agro Industries Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"13,175",Asia,2009-11-24,,
255,"7.2 MW Nargund wind project for Grid system by Bhoruka Power Corporation Limited in Karnataka State, India.",Bhoruka Power Corporation Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"18,416",Asia,2020-04-06,2017-09-29,2027-09-28
265,"4.5 MW Grouped Small Hydropower Projects for Grid system by Bhoruka Power Corporation Limited in Karnataka State, India.",Bhoruka Power Corporation Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"16,867",Asia,2020-04-06,,
268,2.5 MW WINDPOWERGENERATION PROJECT OF C.J.SHAH & CO,C . J . SHAH & CO,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"3,697",Asia,2010-01-06,,
269,6.25 MW Wind Power Generation project of Salora International Limited,Salora International Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"9,440",Asia,2010-01-06,,
274,Hanuman Ganga Hydro (4.95 MW) Plant at Uttarakhand,Regency Aquaelectro & Motelresorts Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"18,422",Asia,2020-04-06,,
298,"Aryan Coal 15 MW Wind Project in Maharashtra, India",ACB (INDIA) LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"23,816",Asia,2020-04-06,2016-03-28,2026-03-27
303,"Positive Climate Care 9.75 MW Bundled Wind Power Project Activity by Savita Oil Technologies Ltd. & its group companies in the state of Maharashtra, India",Savita Oil Technologies Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"15,480",Asia,2010-02-01,,
305,4.5 MW bundled wind power project,VVD AND SONS PRIVATE LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"8,820",Asia,2010-02-02,,
349,"8.35 MW Wind Power Project at Guddarangavana Halli, District Chitradurga, State Karnataka, India.",MSPL Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"17,068",Asia,2020-04-06,,
376,"Positive Climate Care 8.25 MW Bundled Wind Power Project Activity by Savita Oil Technologies Limited in Hassan, Karnataka, India.",Savita Oil Technologies Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"17,757",Asia,2010-05-04,,
458,6 MW Wind Power Project in Maharashtra by PTC India,PTC India Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"11,562",,2020-04-06,,
482,2.5 MW Bundled Wind Power Project in Maharashtra (India),Raj Infrastructure Development (India) Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"3,946",Asia,2010-08-18,,
493,"5 MW Brahm Ganga Hydro – Electric Project at Kullu district of Himachal Pradesh, India",Harisons Hydel Construction Co. (P) Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"17,868",Asia,2010-09-10,2018-04-02,2028-04-01
498,"Grid-connected wind electricity generation project in Tamil Nadu, India",National Enterprises,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"7,402",Asia,2010-10-08,,
499,"Positive Climate Care 4.67 MW Bundled Grid connected Wind Power Project Activity in Jaisalmer, Rajasthan, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"13,233",Asia,2020-04-06,,
508,"Natural Gas based Combined Cycle Power Project at Valantharavai Village, Ramanathapuram District, Tamil Nadu by Penna Electricity Limited [Formerly Arkay Energy Limited]",Pioneer Power Limited,Energy industries (renewable/non-renewable sources),,AM0029,Registered,India,"90,339",Asia,2010-10-28,,
531,"1 MW Jiwa Small Hydel Project in Kullu, Himachal Pradesh",Chevron Hydel (Pvt.) Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"4,484",Asia,2020-04-06,,
538,14.1 MW grid connected wind energy project in Tamilnadu by ITC Limited,ITC Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"36,182",Asia,2020-04-06,,
563,Biomass based steam generation project by Sterling Agro Industries Ltd.,Sterling Agro Industries Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"9,500",Asia,2020-04-06,,
584,2.5 MW Rice husk based cogeneration plant at Hanuman Agro Industries Limited,Hanuman Agro Industries Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"32,563",Asia,2020-04-06,,
617,"Electricity generation through wind power project at Jodhpur, Rajasthan",M/s Paranjape Autocast Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"5,808",Asia,2011-05-21,,
650,"Biomass Based Power Generation Plant at Village Channu, Punjab",Universal Biomass Energy Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"74,891",Asia,2011-07-21,,
655,"24.8 MW Wind power project by Belgaum Wind Farms Private Ltd. in Gadag, Karnataka",Belgaum Wind Farms Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"51,985",Asia,2020-04-06,,
662,5.5 MW Bundled Wind Power Project by WMI Cranes Ltd,WMI Power Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"8,906",Asia,2020-04-06,,
676,33.9 MW Bundled Wind Power project in states of Karnataka and Tamil Nadu,Techno Electric & Engineering Company Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"81,947",Asia,2020-04-06,2018-04-01,2028-03-31
636,8MW biomass based power plant at Phagwara,JCT Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"29,393",Asia,2020-04-06,,
691,Improving Energy Efficiency In Railways' Residential Quarters - Northern Region in India,C-Quest Capital,Energy demand,,AMS-II.J.,Registered,India,"20,500",Asia,2020-04-06,,
734,Wind power project by Patnaik Minerals Pvt. Ltd.,Patnaik Minerals Private Limited (PMPL),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"64,864",Asia,2020-06-04,,
749,Grid Connected Renewable Power Generation from Wind Mills by L.S Mills,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"18,539",Asia,2011-12-16,,
782,Grid connected wind energy project in Tamil Nadu by Super Wind Project Private Ltd.,Super Wind Project Private Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"80,087",Asia,2020-04-06,,
840,WIND POWER PROJECT BY M/S DHARIWAL INDUSTRIES LTD. AND M/S R. M. DHARIWAL (HUF),Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"35,919",Asia,2020-04-06,,
891,"Bundled Wind Power generation project by Savita Oil Technologies Ltd., India",Savita Oil Technologies Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"15,000",Asia,2012-09-13,,
821,13.95 MW grid connected wind electricity generation by SRF Limited,SRF Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"34,886",Asia,2020-04-06,,
926,"Wind power project by Sargam Retails Pvt. Ltd. in Gujarat, India",Sargam Retails Pvt. Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"16,181",Asia,2020-04-06,,
1021,Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan,M/s D. J. Malpani,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"13,433",Asia,2013-08-29,2021-03-21,2031-03-20
1039,AES Saurashtra Windfarms,Tata Power Renewable Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"80,385",Asia,2013-04-16,,
1045,"Wind Power Project at Rajkot, Gujarat",ReNew Wind Energy (Rajkot) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"47,244",Asia,2013-08-13,2022-03-29,2032-03-28
1069,"8 MW bundled wind power project, proposed by Ghodawat Industries (India) Pvt. Ltd.",Ghodawat Industries (I) Pvt.Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"116,926",Asia,2020-04-06,,
1075,Kohinoor Wind Power Project in Rajasthan,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"37,741",Asia,2010-10-03,,
1088,"4.2 MW Wind Power Project by National Enterprises at Tamil Nadu, India",National Enterprises,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"9,294",Asia,2013-06-21,,
1114,SONAWADE SMALL HYDRO POWER PROJECT,Mahati Hydro Power Projects Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"16,995",Asia,2013-10-23,2020-09-14,2030-09-13
1160,"6.5 MW cogeneration project in Akbarpur, Punjab",Gillanders Arbuthnot & Co. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"35,044",Asia,2012-10-29,,
1217,Electricity Generation through Wind Power by SRHHL,Sree Rayalaseema Hi-Strength Hypo Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"11,215",Asia,2013-12-20,,
1236,25 MW Solar PV Project in Gujarat,Visual Percept Solar Projects Pvt. Ltd. (VPSPPL),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"32,763",Asia,2020-04-06,,
1254,"Yelisirur wind power project, India",Bhoruka Power Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"49,451",Asia,2014-02-26,,
733,Biomass based steam generation project by Gujarat Ambuja Exports Ltd.,Gujarat Ambuja Exports Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,"45,523",Asia,2020-04-06,,
2242,Installation of wind power project in Rajasthan and Tamil Nadu,Wind Urja India Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"92,328",Asia,2021-01-05,2016-04-01,2026-03-31
2243,"Wind power project in Madhya Pradesh, India",Ratedi Wind Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"40,546",Asia,2021-02-09,2016-08-25,2026-08-24
2244,Lalpur wind farm in Gujarat,Tadas Wind Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"99,859",Asia,2021-01-14,,
2245,"Wind power project in Rajasthan, India",Ratedi Wind Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"40,546",Asia,2021-01-14,2018-07-01,2028-06-30
2248,Wind energy project by LWEPL-1,Lalpur Wind Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"101,865",Asia,2020-11-25,2017-01-01,2026-12-31
2069,Greenfield Solar Power Mission by Fortum India,Fortum India Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"412,674",Asia,2020-12-06,2021-03-19,2031-03-18
2065,Renewable Energy Power Projects by Atria Power,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"314,814",Asia,2020-04-17,2018-01-25,2028-01-24
2058,50MW Greenfield Solar Plant in UP by Jakson Group,Jakson Power Pvt. Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"85,873",Asia,2021-07-27,2021-07-01,2031-06-30
2059,Renewable Solar Power Project by Mahindra Renewables Private Limited,Mahindra Renewables Private Limited.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"389,911",Asia,2022-05-12,2018-07-06,2028-07-05
2052,Renewable Wind Power Project by Axis Wind Farms (Rayalaseema) Pvt. Ltd,Axis Wind Farms (Rayalaseema) Pvt. Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"202,492",Asia,2020-08-20,2018-03-02,2028-03-01
2054,Installation of 240 MW Hydroelectric Project at Kutehr in the Chamba district of Himachal Pradesh by JSW Energy,JSW Energy Kutehr Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"873,698",Asia,2020-07-20,2016-10-01,2026-09-30
2042,Renewable Wind Power Project by Adani,Adani Green Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"172,333",Asia,2021-03-24,2019-06-29,2029-06-28
2033,3.5 MW Small Hydro Project In Himachal Pradesh,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"14,462",Asia,2020-08-23,2018-02-23,2028-02-22
2038,Energising Indian homes by Solar rooftop projects,Azure Power India Pvt ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"140,874",Asia,2021-04-12,2017-12-28,2027-12-27
2023,Renewable Solar Power Project By Rishabh Renergy,Rishabh Renergy Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"23,089",Asia,2021-07-12,2018-03-28,2028-03-27
2026,Allain Duhangan Hydroelectric Project (ADHP),AD Hydro Power Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"494,668",Asia,2021-01-28,,
2017,Karnataka Pavagada-II Solar Project by Avaada (150 MW),Avaada Solarise Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"305,870",Asia,2020-11-18,2019-11-08,2029-11-07
2019,"100 MW grid connected Wind Power project in Jamnagar Gujarat, India",Verdant Renewables Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"363,796",Asia,2022-11-03,2019-06-21,2029-06-20
2020,250 MW Wind Power Project by Mytrah Energy,M/s Mytrah Vayu (Sabarmati) Pvt. Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"506,370",Asia,2019-12-24,2019-01-30,2029-01-29
1993,Bundled Wind Power project in Koppal Karnataka,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"266,634",Asia,2020-06-25,2018-03-02,2028-03-01
1985,"100 MW Bundled Wind Power Project in Anantapuram, Andhra Pradesh",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"192,849",Asia,2020-02-07,2018-03-22,2028-03-21
1990,"40MW Bundled Solar Project in Telangana, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"79,241",Asia,2020-03-16,2017-12-22,2027-12-21
1981,"Waste Heat Recovery Power Project at JK Cement Works (Unit of JK Cement Limited), Nimbahera, Chittorgarh, Rajasthan",JK Cement Ltd. (JKCL),Energy industries (renewable/non-renewable sources),,ACM0012,Registered,India,"70,796",Asia,2022-03-16,,
1976,Renewable Solar Power Project by Shapoorji Pallonji,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"432,770",Asia,2020-08-23,2018-04-08,2028-04-07
